state,name,phone,external_link,suggested_city,issues
Illinois,Ferrell Pain Management Center,,https://www.ferrellhosp.org/,"Eldorado, IL","No address on the live site. Shown as name and state only until confirmed. Suggested city: Eldorado, IL."
Illinois,Marshall Browning,,https://www.marshallbrowninghospital.com/getpage.php?name=Pain_Management_Clinic&sub=Services,"Du Quoin, IL","No address on the live site. Shown as name and state only until confirmed. Suggested city: Du Quoin, IL."
Illinois,MASSAC Hospital,,https://www.massachealth.org/,"Metropolis, IL","No address on the live site. Shown as name and state only until confirmed. Suggested city: Metropolis, IL."
Indiana,Perry County Memorial Hosplital,,https://www.pchospital.org/,"Tell City, IN","No address on the live site. Shown as name and state only until confirmed. Suggested city: Tell City, IN. Live name is misspelled (""Hosplital""). Published as-is until PMG approves a correction."
Indiana,PUTNAM COUNTY HOSPITAL PAIN MANAGEMENT CENTER,765-658-2706,https://www.pchosp.org/pain-management-center,,Live name is in all capitals. Confirm the preferred display name.
Kentucky,Breckinridge Health Pain Management Center,,https://www.mybreckhealth.org/,"Hardinsburg, KY","No address on the live site. Shown as name and state only until confirmed. Suggested city: Hardinsburg, KY."
Kentucky,MEADOWVIEW INTERVENTIONAL PAIN MANAGEMENT,606-759-2180,https://www.meadowviewregional.com/pain-management-services,,Live name is in all capitals. Confirm the preferred display name.
Kentucky,OHIO COUNTY PAIN CARE,270-298-5445,https://ochcares.com/Pain,,Live name is in all capitals. Confirm the preferred display name.
Kentucky,TWIN LAKES PAIN MANAGEMENT CENTER,270-259-9405,https://www.tlrmc.com/,,Live name is in all capitals. Confirm the preferred display name.
Maine,Houlton Regional Hospital,,https://houltonregional.org/,"Houlton, ME","No address on the live site. Shown as name and state only until confirmed. Suggested city: Houlton, ME."
Maine,Northern Maine Medical Center,,https://nmmc.org/services/outpatient/pain-management/,"Fort Kent, ME","No address on the live site. Shown as name and state only until confirmed. Suggested city: Fort Kent, ME."
Michigan,MEMORIAL PAIN CLINIC,989-729-4190,https://www.memorialhealthcare.org/location/memorial-healthcare-pain-management/,,Live name is in all capitals. Confirm the preferred display name.
Michigan,SPINE AND PAIN PROGRAM AT MYMICHIGAN MEDICAL CENTER,989-343-3730,https://www.mymichigan.org/conditions-treatments/pain-management/outpatient-pain-management-programs/spine-and-pain-program/,,Live name is in all capitals. Confirm the preferred display name.
North Carolina,Columbus Regional,,https://crhealthcare.org/services/pain-management/,"Whiteville, NC","No address on the live site. Shown as name and state only until confirmed. Suggested city: Whiteville, NC."
Ohio,Grand Lake PAIN MANAGEMENT CENTER,419-394-9520,https://grandlakehealth.org/services/pain-management/,,Live name does not match its old URL (/em_portfolios/new-day-pain-management-center/). Confirm the current program name.
Ohio,MADISON HEALTH PAIN MANAGEMENT,740-845-7660,http://www.madison-health.com/painmanagement.php,,Live name is in all capitals. Confirm the preferred display name.
Ohio,MAGRUDER PAIN MANAGEMENT CENTER,419-732-3972,https://www.magruderhospital.com/,,Live name is in all capitals. Confirm the preferred display name.
Ohio,MEMORIAL PAIN SOLUTIONS,937-578-4580,https://memorialohio.com/services/pain-solutions/,,Live name is in all capitals. Confirm the preferred display name.
Ohio,Parkview Pain Management Clinic,419-633-7343,https://www.parkview.com/locations/pain-management-clinic-at-parkview-bryan-hospital,,Live name does not match its old URL (/em_portfolios/community-hospitals-wellness-centers-pain-management-center/). Confirm the current program name.
Ohio,PAULDING COUNTY PAIN MANAGEMENT,419-399-1136,https://pauldingcountyhospital.com/pain-management/,,Live name is in all capitals. Confirm the preferred display name.
Ohio,Southeastern Pain Management,,https://www.ohiohealth.com/locations/hospitals/southeastern-medical-center,"Cambridge, OH","No address on the live site. Shown as name and state only until confirmed. Suggested city: Cambridge, OH."
Ohio,UH SAMARITAN PAIN CLINIC,419-207-2721,https://www.uhhospitals.org/locations/uh-samaritan-medical-center/services/pain-clinic,,Live name is in all capitals. Confirm the preferred display name.
Ohio,VAN WERT COUNTY PAIN MANAGEMENT CENTER,419-232-6060,https://www.ohiohealth.com/locations/hospitals/van-wert-hospital/physician-practices,,Live name is in all capitals. Confirm the preferred display name.
Ohio,WAYNE HEALTH PAIN MANAGEMENT,937-569-7246,https://www.waynehealthcare.org/our-services/pain-management/,,Live name is in all capitals. Confirm the preferred display name.
Tennessee,Hardin Medical Center,,https://www.hardinmedicalcenter.org/services,"Savannah, TN","No address on the live site. Shown as name and state only until confirmed. Suggested city: Savannah, TN."
Tennessee,RHEA PAIN MANAGEMENT CENTER,423-285-5220,https://rheamedical.org/services/pain-management-center/,,Live name is in all capitals. Confirm the preferred display name.
