category,title,slug,url,status,viewmedica,hub_title,note
Conditions,Bursitis of the Hip (Trochanteric Bursitis),bursitis-of-the-hip-trochanteric-bursitis,https://painmgmtgroup.com/pain-education/bursitis-of-the-hip-trochanteric-bursitis/,200,ondemand.viewmedica.com/7704/open/A_53e76138,Bursitis Of The Hip (Trochanteric Bursitis),
Conditions,Cervical Radiculopathy,cervical-radiculopathy,https://painmgmtgroup.com/pain-education/cervical-radiculopathy/,200,ondemand.viewmedica.com/7704/open/A_26987084,Cervical Radiculopathy,
Conditions,Complex Regional Pain Syndrome (CRPS),complex-regional-pain-syndrome-crps,https://painmgmtgroup.com/pain-education/complex-regional-pain-syndrome-crps/,200,ondemand.viewmedica.com/7704/open/A_39a3df88,Complex Regional Pain Syndrome (CRPS),
Conditions,Post-Laminectomy Syndrome,post-laminectomy-syndrome,https://painmgmtgroup.com/pain-education/post-laminectomy-syndrome/,200,,Post-Laminectomy Syndrome,
Conditions,Spinal Stenosis,spinal-stenosis,https://painmgmtgroup.com/pain-education/spinal-stenosis/,200,ondemand.viewmedica.com/7704/open/A_f28e188b,Spinal Stenosis,
Conditions,Spondylosis,spondylosis,https://painmgmtgroup.com/pain-education/spondylosis/,200,,Spondylosis,
Conditions,Lumbar Radiculopathy (Sciatica),lumbar-radiculopathy-sciatica,https://painmgmtgroup.com/pain-education/lumbar-radiculopathy-sciatica/,200,ondemand.viewmedica.com/7704/open/A_59d770a7,Lumbar Radiculopathy (Sciatica),
Procedures,Basivertebral Nerve Ablation (BVN),basivertebral-nerve-ablation-bvn,https://painmgmtgroup.com/pain-education/basivertebral-nerve-ablation-bvn/,200,ondemand.viewmedica.com/7704/open/A_d5a72b18,Basivertebral Nerve Ablation (BVN),
Procedures,BOTOX® Injections for Chronic Migraine,botox-injections-for-chronic-migraine,https://painmgmtgroup.com/pain-education/botox-injections-for-chronic-migraine/,200,ondemand.viewmedica.com/7704/open/A_280c1923,BOTOX® Injections for Chronic Migraine,
Procedures,Caudal Epidural Steroid Injection,caudal-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/caudal-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_777fcf4d,Caudal Epidural Steroid Injection,
Procedures,Cervical Epidural Steroid Injection,cervical-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/cervical-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_0307a991,Cervical Epidural Steroid Injection,
Procedures,Cervical Facet Radiofrequency Neurotomy,cervical-facet-radiofrequency-neurotomy,https://painmgmtgroup.com/pain-education/cervical-facet-radiofrequency-neurotomy/,200,ondemand.viewmedica.com/7704/open/A_a6d812f1,Cervical Facet Radiofrequency Neurotomy (RFA),
Procedures,Cervical Transforaminal Epidural Steroid Injection,cervical-transforaminal-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/cervical-transforaminal-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_8c629729,Cervical Transforaminal Epidural Steroid Injection,
Procedures,Genicular Nerve Ablation (RF Neurotomy),genicular-nerve-ablation-rf-neurotomy,https://painmgmtgroup.com/pain-education/genicular-nerve-ablation-rf-neurotomy/,200,,Genicular Nerve Ablation (RF Neurotomy),"hub links /pain-education/genicular-nerve-ablation/, which 301s here"
Procedures,Hip Joint Injection,joint-injection,https://painmgmtgroup.com/pain-education/joint-injection/,200,ondemand.viewmedica.com/7704/open/A_5cda8d4a,Hip Joint Injection,
Procedures,Lumbar Epidural Steroid Injection,lumbar-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/lumbar-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_2413942d,Lumbar Epidural Steroid Injection,
Procedures,Lumbar Sympathetic Block,lumbar-sympathetic-block,https://painmgmtgroup.com/pain-education/lumbar-sympathetic-block/,200,ondemand.viewmedica.com/7704/open/A_1babedf6,Lumbar Sympathetic Block,
Procedures,Lumbar Transforaminal Epidural Steroid Injection,lumbar-transforaminal-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/lumbar-transforaminal-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_543ec6a2,Lumbar Transforaminal Epidural Steroid Injection,
Procedures,Medial Branch Block,medial-branch-block,https://painmgmtgroup.com/pain-education/medial-branch-block/,200,ondemand.viewmedica.com/7704/open/A_918ee823,Medial Branch Block,
