state,state_slug,name,city,state_abbr,suggested_city,zip,phone,external_link,logo,legacy_url,address_block
Illinois,illinois,Ferrell Pain Management Center,,,"Eldorado, IL",,,https://www.ferrellhosp.org/,https://painmgmtgroup.com/wp-content/uploads/2023/09/ferrell.png,/em_portfolios/ferrell-pain-management-center/,Ferrell Pain Management Center Ferrell Pain Management Center
Illinois,illinois,Marshall Browning,,,"Du Quoin, IL",,,https://www.marshallbrowninghospital.com/getpage.php?name=Pain_Management_Clinic&sub=Services,https://painmgmtgroup.com/wp-content/uploads/2024/11/marshall_browning.png,/em_portfolios/marshall-browning/,Marshall Browning
Illinois,illinois,MASSAC Hospital,,,"Metropolis, IL",,,https://www.massachealth.org/,https://painmgmtgroup.com/wp-content/uploads/2023/12/massac_square.png,/em_portfolios/massac-hospital/,MASSAC Hospital
Indiana,indiana,Decatur County Memorial Pain Management Center,Greensburg,IN,,47240,812-663-1185,https://www.dcmh.net/health-services/clinical-services/pain/,https://painmgmtgroup.com/wp-content/uploads/2022/12/decatur_logo.png,/em_portfolios/decatur-county-memorial-pain-management-center/,"Decatur County Memorial Pain Management Center DECATUR COUNTY MEMORIAL PAIN MANAGEMENT CENTER Decatur County Memorial Hospital 720 North Lincoln Street Greensburg, IN 47240 P: 812-663-1185 F: 812-663-1184"
Indiana,indiana,Hancock Pain Management,Greenfield,IN,,46140,317-468-4090,https://www.hancockhealth.org/location/hancock-pain-management-center/,https://painmgmtgroup.com/wp-content/uploads/2022/12/hancock_new_small.png,/em_portfolios/hancock-pain-management/,"Hancock Pain Management HANCOCK PAIN MANAGEMENT Hancock Regional Hospital 801 N State Street Greenfield, IN 46140 P: 317-468-4090 F: 317-468-4091"
Indiana,indiana,Perry County Memorial Hosplital,,,"Tell City, IN",,,https://www.pchospital.org/,https://painmgmtgroup.com/wp-content/uploads/2025/10/pcmh.jpg,/em_portfolios/perry-county-memorial-hosplital/,Perry County Memorial Hosplital
Indiana,indiana,PUTNAM COUNTY HOSPITAL PAIN MANAGEMENT CENTER,Greencastle,IN,,46135,765-658-2706,https://www.pchosp.org/pain-management-center,https://painmgmtgroup.com/wp-content/uploads/2022/12/putnamcountry_logo.png,/em_portfolios/putnam-county-hospital-pain-management-center/,"PUTNAM COUNTY HOSPITAL PAIN MANAGEMENT CENTER PUTNAM COUNTY HOSPITAL PAIN MANAGEMENT CENTER Putnam County Hospital 1542 S. Bloomington St. Greencastle, IN 46135 P: 765-658-2706 F: 765-658-2708"
Kentucky,kentucky,Breckinridge Health Pain Management Center,,,"Hardinsburg, KY",,,https://www.mybreckhealth.org/,https://painmgmtgroup.com/wp-content/uploads/2023/09/breck_logo.png,/em_portfolios/breckinridge-health-pain-management-center/,Breckinridge Health Pain Management Center Breckinridge Health Pain Management Center
Kentucky,kentucky,Harrison Memorial Pain Management,Cynthiana,KY,,41031,859-235-3724,https://harrisonmemhosp.com/services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/HMHLOGOv2.png,/em_portfolios/harrison-memorial-pain-management/,"Harrison Memorial Pain Management HARRISON MEMORIAL PAIN MANAGEMENT 1210 Kentucky 36 East, Suite 1C Cynthiana, KY 41031 P: 859-235-3724 F: 859-234-5666"
Kentucky,kentucky,MEADOWVIEW INTERVENTIONAL PAIN MANAGEMENT,Marysville,KY,,41056,606-759-2180,https://www.meadowviewregional.com/pain-management-services,https://painmgmtgroup.com/wp-content/uploads/2022/12/meadowview_logo.png,/em_portfolios/meadowview-interventional-pain-management/,"MEADOWVIEW INTERVENTIONAL PAIN MANAGEMENT MEADOWVIEW INTERVENTIONAL PAIN MANAGEMENT Meadowview Regional Medical Center 991 Medical Park Dr. Suite 301 Marysville, KY 41056 P: 606-759-2180 F: 606-759-2180"
