from,to,reason
/2017/12/,/news/,"blog date archive, linked from every post sidebar"
/2017/12/07/,/news/,"blog date archive, linked from every post sidebar"
/2018/01/,/news/,"blog date archive, linked from every post sidebar"
/2018/01/16/,/news/,"blog date archive, linked from every post sidebar"
/2019/01/,/news/,"blog date archive, linked from every post sidebar"
/2019/01/31/,/news/,"blog date archive, linked from every post sidebar"
/2022/08/,/news/,"blog date archive, linked from every post sidebar"
/2022/08/29/,/news/,"blog date archive, linked from every post sidebar"
/about/,/about-us/,existing live redirect; preserve
/author/pmg_admin/,/news/,"blog author archive, in sitemap"
/blog-left-sidebar/,/news/,news hub; /blog-left-sidebar/ is the live nav's Blog link
/blog/,/news/,news hub; /blog-left-sidebar/ is the live nav's Blog link
/category/corporate/,/news/,"blog category archive, linked from every post sidebar"
/category/stories/,/news/,"blog category archive, linked from every post sidebar"
/category/uncategorized/,/news/,"blog category archive, linked from every post sidebar"
/em_portfolios/acrmc-restorative-pain-care/,/our-partners/ohio/,partner page for ACRMC Restorative Pain Care
/em_portfolios/allegan-pain-management-center/,/our-partners/michigan/,partner page for Allegan Pain Management Center
/em_portfolios/avita-pain-management-center-galion/,/our-partners/ohio/,partner page for Avita Pain Management
/em_portfolios/blanchard-valley-pain-management-center-findlay/,/our-partners/ohio/,partner page for Blanchard Valley Pain Management Centers
/em_portfolios/breckinridge-health-pain-management-center/,/our-partners/kentucky/,partner page for Breckinridge Health Pain Management Center
/em_portfolios/clinton-pain-management-center/,/our-partners/ohio/,partner page for Clinton Pain Management Center
/em_portfolios/columbus-regional/,/our-partners/north-carolina/,partner page for Columbus Regional
/em_portfolios/community-hospitals-wellness-centers-pain-management-center/,/our-partners/ohio/,partner page for Parkview Pain Management Clinic
/em_portfolios/crystal-clinic-pain-management-center/,/our-partners/ohio/,partner page for Crystal Clinic Pain Management Center
/em_portfolios/decatur-county-memorial-pain-management-center/,/our-partners/indiana/,partner page for Decatur County Memorial Pain Management Center
/em_portfolios/edgerton-hospital-pain-spine-center/,/our-partners/wisconsin/,partner page for Edgerton Hospital Pain & Spine Center
/em_portfolios/edgewood-pain-management-center/,/our-partners/pennsylvania/,partner page for Edgewood Pain Management Center
/em_portfolios/ferrell-pain-management-center/,/our-partners/illinois/,partner page for Ferrell Pain Management Center
/em_portfolios/fisher-titus-pain-management-center-sandusky/,/our-partners/ohio/,partner page for Fisher-Titus Pain Management Centers
/em_portfolios/hancock-pain-management/,/our-partners/indiana/,partner page for Hancock Pain Management
/em_portfolios/hardin-medical-center/,/our-partners/tennessee/,partner page for Hardin Medical Center
/em_portfolios/harrison-memorial-pain-management/,/our-partners/kentucky/,partner page for Harrison Memorial Pain Management
/em_portfolios/henry-county-pain-management-center/,/our-partners/ohio/,partner page for Henry County Pain Management Center
/em_portfolios/houlton-regional-hospital/,/our-partners/maine/,partner page for Houlton Regional Hospital
